Type,"Single cylinder, 4-stroke, DI","Single cylinder, 4-stroke, DI.1","Single cylinder, 4-stroke, DI.2",4 Stroke DI diesel engine,4 stroke_4 cylinder.6,4 stroke_4 cylinder.6.1,"Single-cylinder, four-stroke diesel engine",Kirloskar Oil Engine Limited.1,Diesel engines,Isuzu.1,Isuzu.1.1,Isuzu.1.2,Isuzu.1.3,Isuzu.1.4,Isuzu.1.5,Kirloskar and TAFI,Kirloskar-AV1,"Single cylinder, 4-stroke, DI.3","Single cylinder, 4-stroke, DI.4","Single cylinder, 4-stroke, DI.5",4 stroke_4 cylinder,4 stroke_4 cylinder.1,4 stroke_4 cylinder.2,4 stroke_4 cylinder.3,4 stroke_4 cylinder.4,4 stroke_4 cylinder.5,4 stroke_4 cylinder.6,4 stroke_4 cylinder.7,4 stroke_4 cylinder.8,4 stroke_4 cylinder.9,Diesel engines,Diesel engines.1,Diesel engines.2,Isuzu,Isuzu.1,Isuzu.2,Isuzu.3,Isuzu.4,Isuzu.5,4 Stroke DI diesel engine,4 Stroke DI diesel engine.1,"Single-cylinder, four-stroke diesel engine","Single-cylinder, four-stroke diesel engine.1","Single-cylinder, four-stroke diesel engine.2",Kirloskar Oil Engine Limited,Kirloskar Oil Engine Limited.1,Kirloskar Oil Engine Limited.2,Kirloskar Oil Engine Limited.3,Kirloskar Oil Engine Limited.4,Kirloskar Oil Engine Limited.5,Kirloskar and TAFI,Kirloskar-AV1,"Single cylinder, 4-stroke, DI","Single cylinder, 4-stroke, DI.1","Single cylinder, 4-stroke, DI.2"
Rated_speed (rpm),1400,1600,2000,2400,2800,1800,1500,1500,1800,1500,2000,2500,3000,3500,4000,1500,1500,1400,1600,2000,1800,1800,1800,1800,1800,2800,2800,2800,2800,2800,1800,1800,1800,1500,2000,2500,3000,3500,4000,2400,2400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1400,1600,2000
Number_of _cylinders,1,1,1,1,4,4,1,1,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bore_Stroke,105 x 115,105 x 115,105 x 115,92 x 96,84 x 100,84 x 100,110 x 87.5,80 x 180,110 x 130,84 x 82,84 x 82,84 x 82,84 x 82,84 x 82,84 x 82,87.5 x 110,80 x 110,105 x 115,105 x 115,105 x 115,84 x 100,84 x 100,84 x 100,84 x 100,84 x 100,84 x 100,84 x 100,84 x 100,84 x 100,84 x 100,110 x 130,110 x 130,110 x 130,84 x 82,84 x 82,84 x 82,84 x 82,84 x 82,84 x 82,92 x 96,92 x 96,110 x 87.5,110 x 87.5,110 x 87.5,80 x 180,80 x 180,80 x 180,80 x 180,80 x 180,80 x 180,87.5 x 110,80 x 110,105 x 115,105 x 115,105 x 115
Cooling_system,Water cooled,Water cooled,Water cooled,Radiator cooling,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Radiator cooling,Radiator cooling,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled,Water cooled
Power_kW,11.03,11.03,11.03,7.7,35.8,35.8,5.2,3.73,46.5,39,39,39,39,39,39,4.4,3.72,11.03,11.03,11.03,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,46.5,46.5,46.5,39,39,39,39,39,39,7.7,7.7,5.2,5.2,5.2,3.73,3.73,3.73,3.73,3.73,3.73,4.4,3.72,11.03,11.03,11.03
Compression_ratio( ? :1 ),16.5,16.5,16.5,17.7,22.5,22.5,17.5,14.6,17,21,21,21,21,21,21,17.5,16.5,16.5,16.5,16.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,17,17,17,21,21,21,21,21,21,17.7,17.7,17.5,17.5,17.5,14.6,14.6,14.6,14.6,14.6,14.6,17.5,16.5,16.5,16.5,16.5
Fuel_type,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,Diesel,10%_biodiesel,20%_biodiesel,30%_biodiesel,40%_biodiesel,50%_biodiesel,10%_biodiesel,20%_biodiesel,30%_biodiesel,40%_biodiesel,50%_biodiesel,15%_biodiesel,20%_biodiesel,30%_biodiesel,35%_biodiesel,35%_biodiesel,35%_biodiesel,35%_biodiesel,35%_biodiesel,35%_biodiesel,10%_biodiesel,20%_biodiesel,10%_biodiesel,20%_biodiesel,30%_biodiesel,10%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel,20%_biodiesel
CO%,0.14,0.1,0.09,0.69,0.04,0.09,0.31,0.11,0.14,0.46,0.4,0.34,0.22,0.18,0.11,0.13,0.18,0.14,0.12,0.1,0.04,0.03,0.04,0.03,0.06,0.04,0.03,0.03,0.03,0.04,0.07,0.07,0.09,0.4,0.38,0.35,0.2,0.17,0.13,0.06,0.05,0.069,0.07,0.07,0.09,0.09,0.1,0.11,0.1,0.13,0.07,0.17,0.14,0.12,0.08
CO2%,7.5,7.9,8,1.4,13,12.6,3.3,5.4,3.9,3.9,6.8,5.9,4.3,4.1,3.7,7.3,6.6,7.4,7.6,7.9,12.2,12.2,12.3,12.2,12.1,12.3,12.1,12.1,12,12.1,5.4,5.9,6,6.8,6.2,5.7,5,4.3,3.5,4.88,4.84,3.7,3.5,3.4,5.2,5.8,5.5,6.1,5.9,6.3,4.92,5.8,5.22,5.13,4.96
Nox_ppm,502,509,513,398,449,436,460,483,478,432,423,439,473,481,497,538,378,499,503,508,495,506,486,478,470,443,458,416,426,421,491,488,493,513,511,508,496,493,489,411,423,490,495,498,584,521,436,512,525,503,540,398,505,504,503
HC_ppm,16,15,13,39,19,59,38,30,51,37,38,40,41,42,43,32,92,19,18,16,58,43,45,92,93,21,23,46,68,74,27,31,26,32,33,35,36,37,40,38,35,30,34,40,27,26,30,30,30,37,27,78,16,15,13
Flash_point(degrees Celsius),67,67,67,77,58,58,71,58,61,50,50,50,50,50,50,49,66,67,67,67,160.5,182.7,190.1,193.9,200.5,160.5,182.7,190.1,193.9,200.5,102.2,98.5,114.1,139.6,139.6,139.6,139.6,139.6,139.6,182.5,182.5,70.6,81.8,92.1,69.1,86.9,98.2,102,99.5,95.6,142,170,166,166,166
Kinematic_viscosity_at_40_degrees_Celsius_mm2/s,2.7,2.7,2.7,3.6,3.8,3.8,2.3,2.9,2.49,3.6,3.6,3.6,3.6,3.6,3.6,3.52,2.25,2.7,2.7,2.7,5.6,5.32,5.49,5.58,5.78,5.6,5.32,5.49,5.58,5.78,2.42,2.27,2.75,4.15,4.15,4.15,4.15,4.15,4.15,4.72,4.93,2.68,2.97,3.63,3.51,3.89,3.67,4.08,3.79,4.3,4.73,3.5,5.2,5.2,5.2
Density_kg/m3,820,820,820,832,815,815,820,825,843,831,831,831,831,831,831,821,820,820,820,820,884.8,887.4,891.9,894.3,898.6,884.8,887.4,891.9,894.3,898.6,845,843,852,860,860,860,860,860,860,864.8,870.8,824,831,836,831,835,834,838,838,839,885,880,870,870,870
Calorific_value_MJ/kg,42.5,42.5,42.5,44.66,43.35,43.35,42,43.84,45.9,45.8,45.8,45.8,45.8,45.8,45.8,44.3,42.5,42.5,42.5,42.5,39.56,38.76,38.16,37.75,36.54,39.56,38.76,38.16,37.75,36.54,40.83,40.93,40.49,44.26,44.26,44.26,44.26,44.26,44.26,40.53,39.87,40.78,40.17,39.81,42.11,41.42,41.51,40.81,41.75,39.31,38.65,38.8,38.81,38.81,38.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
